title,description,audience_level,talk_format,tags
Notebook as Web API: Turn your notebook into Web API,"Jupyter Notebookはデータサイエンスの分野で広く利用されるようになり、素早くインタラクティブに予測モデルをつくれるようになりました。
しかし、予測モデルは作って終わりではなく、エンドユーザがAIによる価値を得るには予測モデルをアプリケーションに組み込む必要があります。
(例えば、明日の需要を予測するモデルを利用して、自動発注のアプリケーションを開発する、など。)

予測モデルをアプリケーションに組み込むためには予測APIを設計、実装したり、そのための開発環境を用意したりといったことをしなければならないため、そこでコストや時間がかかってしまうという課題がありました。

そこで、私たちはJupyter Notebookのextensionを実装し以下のことを可能にしました。
1. Jupyter Notebook serverにWeb APIのエンドポイントを公開し、NotebookをWeb APIとして実行可能にした
2. Notebookファイルにパラメータを定義し、HTTPリクエストからパラメータを渡せるようにした
3. Notebookとそこに定義されたパラメータからWeb API仕様のドキュメントを自動で生成できるようにした

これによって、データサイエンティストが予測モデルを利用するNotebookを書くだけで予測APIを作成でき、アプリケーションに予測モデルを素早く組み込めるようになります。

このJupyter Notebookのextensionと、これを用いた問題解決へのアプローチをお話します。",Beginner,Talk (30 minutes),"Machine learning and data science, Best practices, Project case studies"
Probabilistic Programming and Bayesian Deep Learning (comparing Edward and ZhuSuan python libraries),"While creating model for solution of any real life scenario modelling uncertainty is really important. Traditionally, machine learning provides some approach such as Gaussian Processes for modelling uncertainty but these approaches can't scale to high dimensional inputs like images and videos.
On the other hand deep learning algorithms are great for high dimensional inputs but struggles to model uncertainty.

The solution to the problem described above is the topic of my talk -Bayesian Deep Learning .The talk will be about how probabilistic programming, which has been good in modelling uncertainty and deep neural network, which can scale to high dimensional inputs like images and videos, can be combined into Bayesian Deep Learning which provides a deep learning framework and can also model uncertainty.The talk will cover different types of uncertainties and how to model them with Bayesian approach using python libraries(Edward and ZhuSuan) to create safe A.I. 

I'll utilise the time of my talk as follows:

0-10 mins: Introduction to the problem in hand, of modelling uncertainty and why deep learning is not 
                  good enough for the problem. What is traditional probabilistic approach to the problem and it's 
                 shortcomings for high dimensional input, leading to the introduction of Bayesian Deep Learning.

10-20 mins: Explanation of basic mechanism and mathematics behind Bayesian deep learning with some 
                   examples.Description of various types of uncertainties such as Epistemic and Aleatoric which 
                   need to be modelled.

20-30 mins: Introduction to Edward python library and it's usefulness for creating Bayesian deep learning 
                     frameworks. Some example problems to show the working of this library .

30-40 mins : Introduction to ZhuSuan python library and how it is useful in creating Bayesian deep 
                    learning framework along with some examples to show it's workings

40-45 mins :  Q&A sessions with audience",All,Talk (45 minutes),
PyCon JP における子ども向けワークショップの活動事例と実施の意義,"## はじめに
全世界で子ども向けの子ども向けのプログラミング教育や学習の活動が実施されている。日本においては小学校において2020年から教科中でのプログラミングという形で必修化する。このような背景から、プログラミングが非常に注目されていると言って良い。気をつけなければならないのが、小学校に入ってくるプログラミングはコーティング技術などを教えるものではなく、プログラミングを一つの方法として問題解決能力や抽象化の概念などを養うことに重きをおいている。PyCon JPで実施している子ども向けワークショップは上述した問題解決能力の向上にもフォーカスしているが、Pythonという言語を通してコンピュータと対話する技術や子どもたちのコミュニティ形成に重きを置いていると言って良い。本トークではPyCon JP における子ども向けワークショップから得られた結果の共有、考察を通して、Pythonを子ども向けプログラミングに用いる有用性や展望について検討する。

## PyCon JP における子ども向けプログラミングワークショップ
本セクションでは「子ども向けプログラミングワークショップ」の実施内容や結果などについて触れる。
なお、実施項目としては以下であった。  
 ・2015年 Python + Minecraft  
 ・2016年 Python + Web    
 ・2017年 Python + Game   

## 世界のPyConにおける活動
本セクションでは、世界のPyConで実施されている子ども向けワークショップについて事例を示す。
例として、以下のような事例があげられ、世界各国で子どもを対象のワークショップや活動が見られ、非常に注目が高いことがわかる。    
 ・PyCon 2018 Young Coders    
 ・PyCon  UK 2016   
 ・PyCon CZ 2017  

##  日本と世界の比較
本セクションでは、日本での実施例と世界での実施例を比較しどのような共通点があり、どのような違いがあるかを検討および考察をする。

## 子ども向けプログラミングにおけるPythonの利点、有用性
本セクションでは、日本、世界における活動を参考とし、Pythonを使うことの利点や有用性について検討および考察をする。

##  おわりに
本トークをまとめ、子ども向けワークショップの実施の意義を示す。
",All,Talk (45 minutes),Python in education science and maths
"Python, AWS and FinTech","Python's data processing capabilities along with the elastic
infrastructure provided by Amazon AWS has leveled the financial tech
field between the big players and the small. For the first time we had
access to an infrastructure previously only available to the biggest
players and allowed us to enter and compete in a market previously not
open to smaller players.


This is a talk on how Point Nine, a small tech firm operating out of
Limassol, Cyprus, has leveraged Python and AWS to enter into a complex
fin tech space, that of trade processing and regulatory reporting,
processing millions of trades per day at a global scale and partnering
up with major global players such as one of the biggest banks in Japan.


",All,Talk (30 minutes),"Python Data Processing, FinTech, RegTech, AWS"
Pythonistaに贈るコンテナ入門,"本セッションでは主要なコンテナ技術であるDockerの概要とコンテナを活用することによるメリットを説明した上で、AWSのコンテナ管理サービスであるAWS Fargateを用いて実際にPythonアプリケーションをデプロイするデモを想定しています。

* コンテナ技術概要
* Docker概要
* コンテナ活用によるメリット
* AWSのコンテナ関連サービス概要
* デモ
** PythonアプリケーションをAWS Fargateでデプロイ
* まとめ",Beginner,Talk (45 minutes),"Best practices, System administration, Programming tools, Anything else basically which doesn’t really fall into the types of topics above"
Pythonistaの選球眼（せんきゅうがん） - エンジニアリングと野球の目利きになる技術,"# Title

Pythonistaの選球眼（せんきゅうがん） - エンジニアリングと野球の目利きになる技術

# TL;DR

* ライブラリ・フレームワークはプロダクトの主旨・目的およびプロジェクトの状況（期間・構築コスト・運用コスト・学習コスト）で決める
* ライブラリ・フレームワークを最適にかつシンプルに選択できるよう、技術力を鍛えよう（個人学習・コミュニティ）
* イシューからはじめよ（選択に迷い・ブレが無いよう、プロジェクト・プロダクトのストーリーとイシューを固めよう）
* 好球必打（こうきゅうひつだ）.優秀な野球選手ほど、打つべきボールをしっかり見極め、振り切っている（故にホームランがでる）.これを「選球眼」と呼ぶ.
* エンジニアも野球選手も、大切なのは「イシューからはじめる」「選球眼」そして「やり切る」こと

# Outline

## 【あらすじ】選球眼 #とは

一般的にはこちらの意味になります.

> 選球眼（せんきゅうがん、英: Batting eye）は、野球において、四球を選び見極める力、ストライクの球かボール球かを見分ける力のこと。一般に「選球眼が優れている」とは投手の投げる際どいボール球を見切り、打者にとって有利なカウントを整えられる選手のことを指す。
> 
> [ウィキペディア](https://ja.wikipedia.org/wiki/%E9%81%B8%E7%90%83%E7%9C%BC)より引用.

実際にはストライク・ボールのみならず、「自分が打てるボールを見極める」という意味合いもあります.

## 目次

順番は多少前後するかもです.

* プロダクトに合わせた技術を選ぶ
* 技術を選ぶためのスキルを磨く（個人・コミュニティ）
* 【野球】ホームランが出るしくみ
* 【野球】ホームランをPythonで見極める
* 【まとめ】イシューからはじめよう",Intermediate,Talk (30 minutes),"Best practices, Python in education science and maths, Baseball, SABRmetrics"
Pythonを使ったハードウェア開発について,"RaspberryPiやIoTで必要となるハードウェア開発技術について説明を行います。
説明だけでは飽きてしまいます。眠くなってしまうでしょう。
そこで、当日は温湿度センサーや気圧、K型熱電対、カラーセンサー等、実際に科学の実験を行いながらPythonとの関わりを説明していきます。

センサーを動かし、グラフを表示し、実践的で、体感的なプレゼンを行いたいと思います。

ハードウェアに興味ある方、ない方も
科学に興味ある方、ない方も
IoTに興味ある方、ない方も勉強になるプレゼンを目指す予定です。
ぜひ！",All,Talk (45 minutes),"Web programming including frameworks (Django / Flask / Pylons etc.), Python in education science and maths, Machine learning and data science, Python libraries extending and embedding python in hardware, GUI and games, Packaging, Programming tools"
Pythonで始めるウェブスクレイピング実践入門,"インターネット上の特定のリソースを集めようとしたとき、どのような方法を用いればよいでしょうか。

リソースに対しWebAPIが用意されている場合、WebAPIを活用すれば問題なさそうです。

しかし、すべてのリソースに対し、APIが用意されているわけではありません。

特定の情報を集めようとしたときはまだまだスクレイピング活用の場面は多いと思います。

Pythonでスクレイピングをする場合、標準モジュールの `html.parser` , もしくは、著名な外部モジュールに `Beautiful Soup4(bs4)` があります。

昨今では `requests` の作者が作成した `request-HTML` が注目を集めており、それらのモジュールの比較、対象がSingle-Page Applicationである場合などを考慮した実践的な活用方法などを紹介します。

話すこと

* スクレイピング基礎
* 昨今のスクレイピング事情
* 標準モジュール
* ライブラリの比較
* 今始めるならどのライブラリを使えば良いのか？
* 実践的なテクニックの紹介（SPAを対象とする場合など）
* スクレイピングするときの注意点

話さないこと

* scrapyなどフレームワークの説明(以前の発表と被る部分もあるため)
",All,Talk (30 minutes),Web programming including frameworks (Django / Flask / Pylons etc.)
Pythonでざっくり学ぶUnixプロセス ,"プログラミングを学び始めた頃に、プロセス、ファイルディスクリプタ、
システムコールなどのUnix系システムの用語に戸惑ったことはありませんか？

本セッションでは、Unix系システムでプログラムを動かす単位となる
プロセスについて概要を説明するとともに、その周辺知識を広く浅く
Pythonコードを交えながら話します。

- プロセスとは?
- ファイルディスクリプタ
- システムコール
- シグナル
- Pythonからどう見える?
- Webサーバはどう動いてる?
- 理解を助ける便利なツール

大まかに上記のようなトピックを主軸に、Python初心者やプログラム初心者を対象にお話します。
",Beginner,Talk (30 minutes),python
Pythonによる異常検知入門,"##  ゴール
- 異常検知の全体像と、利用されるアルゴリズムが理解できる
- 目的に応じたいくつかの異常検知アルゴリズムをPythonから利用できる
- 異常検知システムの構築例を理解できる

---

## トピック

### 異常検知とは
- 異常検知処理とはどのようなものか、概要をご説明します

###  異常検知のアルゴリズム
- 目的ごとに典型的な異常検知アルゴリズムをご紹介します

### Pythonでの利用方法 (Scikit-learn, Keras, Tensorflow)
- 上記アルゴリズムのPythonでの利用方法、実装方法をご説明します

### 関連するTIPS
- 異常検知処理をアプリケーションとして実装する場合のTIPSをご説明します
  - システムアーキテクチャ
  - 評価方法
  - 再現性の担保
  - そのほか、実装上の工夫
",Intermediate,Talk (30 minutes),"IoT, Anomaly Detection, Machine Learning, statistics"
Python研修の作り方-Teaching Is Learning-,"* 自己紹介
* 研修自体の全体構成
    * Python研修準備内容
        * カリキュラムはどうやって決めたのか
* なぜこれを教えることとしたのか
* 準備期間中に何をしたのか
* どんなことを取り入れたのか
    * なぜJupyter Notebookを採用したのかなど
* どんなことを捨てたのか
* 資料レビューで実際に貰ったコメント内容紹介
* 研修の準備を通してどんな学びがあったのか",All,Talk (30 minutes),Best practices
Pythonで「お絵描きパズル」を解いてみた。,"ナンプレのようなお絵描きパズルを解くとき皆さんどこから解き始めますか?  
お絵描きパズルのようなマスを塗りつぶしていく問題は数字の多い箇所から解き始めると思います。  
では実際に問題を解く過程をプログラムで書いてみようと考えてみてください。  
これが意外と難しい。  
Pythonを始めたばかりの私でも10マス四方の問題を解くプログラムは簡単に書けました。  
しかし中上級者向けの25マスや45マス四方など難しくなるにつれ解けない問題が増えていきました。  
回答が得られなかったりメモリオーバーで終了してしまったり・・・。  
しかしPythonにはNumpy,Pandas,Jupyter Notebookなど便利なライブラリが数多くあり  
それらを使用することでどんな難問でも解くことができるようになります。  
私はパズルやナンプレを解くためにPythonを使うことは相性が良いと思います。  
この話ではパズル問題を解くために使用したライブラリや問題を解くロジカルシンキングを初心者でも分かりやすく説明します。  
皆さんもぜひPythonを使ってお絵描きロジックやナンプレ、クロスワードに挑戦してみませんか。  ",Beginner,Talk (30 minutes),Anything else basically which doesn’t really fall into the types of topics above
 Pythonで解く大学入試数学,"数学系ライブラリの紹介・説明

-  sympy
- numpy
- scipy

ライブラリの使い方とあわせて数学についての説明

- 微積分
- 行列
- 線形代数
- 確率・統計

数学の問題を実際に解いてみる

- センター試験
- 大学入試問題",All,Talk (30 minutes),Python in education science and maths
Real-time object detection coz YOLO!,"YOLO is an algorithm for high speed image processing. The agenda will be as follows: 

- About the algorithm itself, YOLO v3 which is the latest and faster version of YOLO, the architecture of the networks it uses, how it functions and the advantages and disadvantages of YOLO. 
- Overview of other algorithms like region proposals based CNNs, RetinaNet. 
- YOLO was originally written in the Darknet framework which is great, fast and written in C. But since python is easier to work with and thankfully there are a lot of Pythonistas(?) in this world, a tensorflow version called darkflow was created. Using darkflow on cmd, processing video and generating bounding boxes and labels for detecting/tracking/localising objects. 
- Processing images in a Python application, adding bounding boxes and labels using darkflow, matplotlib and basic functionalities. 
- Processing complete videos in Python in the similar way as the previous section, except that this will be run on each frame of the video in a loop. (Usage of capture and other functions specific to video) 
- Processing real time videos from webcam 
- Further possibilities of training the model for detecting something it isn’t trained on 
- Applications",Intermediate,Talk (30 minutes),"python, artificial intelligence, deep learning, computer vision, yolo, Machine learning and data science"
Sphinx-2.0 とドキュメントの未来,"SphinxはPythonの公式リファレンスやDjangoのドキュメントをはじめとして、数多くのPython製ライブラリやツールのドキュメントで使われています。また、最近ではLinuxカーネルなどにも利用されており、Pythonに限らず幅広く使われています。

そのSphinxはもともとPythonの公式リファレンス用のドキュメンテーションツールとして2008年に生まれました。最初のリリースから10年が経過したいま、Sphinxは2.0のリリースに向けて開発が進められています。このトークでは、以下の内容について紹介します。

* Sphinxとはなにか
* Sphinxの歴史
* Sphinx2.0の新機能
* Sphinxの将来像",All,Talk (45 minutes),"Documentation, Sphinx"
SymPyによる数式処理,"# SymPyによる数式処理

- SymPyとは何か
- 準備
    - `pip install sympy`
    - 依存ライブラリは`mpmath`だけ
- 微積分学
    - 四則演算
    - 多項式の因数分解と展開、簡略化
    - 関数の極限
    - 多項式の微積分学
    - 初等関数の微積分学
- 線型代数
    - 行列とベクトルの計算
    - 行列式と逆行列
    - 連立一次方程式
    - 線型写像と階数
    - 像空間と核
    - 行列の固有値、行列の対角化
- 整数論
    - 素数の性質
    - 最大公約数と最小公倍数",Intermediate,Talk (45 minutes),"Web programming including frameworks (Django / Flask / Pylons etc.), Project case studies, Mathematics, SymPy"
The Modern OAuth 2.0,"A detail introduction of the modern OAuth 2.0 framework and how to implement a OAuth 2.0 ID provider in Python (Flask). Including:

1. Basic OAuth 2.0 provider
2. OAuth 2.0 JWT Assertion profile
3. OAuth 2.0 Dynamic Client Registration Protocol
4. OpenID Connect 1.0

And may be more.",Intermediate,Talk (30 minutes),"python, flask, oauth"
Visualizing Topic Models,"With the growing amount of unstructured text data, it could be a difficult task to obtain the relevant and desired information. Topic Modelling is an NLP method precisely aimed at solving this problem. It is a frequently used text-mining tool for discovering the abstract ""topics"" or we can say “a repeating pattern of co-occurring terms"" that occur in a corpus. A good topic model should result in – “health”, “doctor”, “patient”, “hospital” for a topic related to Healthcare, and “farm”, “crops”, “wheat” for a topic related to “Farming”.

Topic Modelling is a great way to infer topics in a large corpus of text documents but analyzing them could become difficult without any visualization. The purpose of this talk is to introduce the visualizations that aids the process of training topic models and analyze their results. I’ll give a brief introduction on Topic Models before moving to visualizations.",All,Talk (30 minutes),"NLP, Visualizaion, Data Science"
Webアプリケーションの仕組み,"最近のアプリケーション開発は、上から下まで幅広い範囲を知っていてあたりまえになっていて、そういったアプリケーション開発をサポートするフレームワークやツールが非常に充実しています。たとえばWeb開発であれば、Djangoの使い方が分かれば、HTTP通信でなにが起きているか、TCP/IPでなにが起きているか知らなくてもなんとかなります。しかし、代わりにDjangoが提供する機能を全て覚えないといけない気になってしまっていないでしょうか？あるいは突然、HTTP_HOSTヘッダーのセキュリティー警告がメールが飛んできて、どうしたらよいか戸惑ったりしていないでしょうか？

これから先も開発を高速に進めるために、一度高速道路を降りて、これまでフレームワークが隠蔽していた基礎を勉強してみるのも良いと思います。
フレームワークを使わずに同じことを実現する実験をしてみましょう。

このトークセッションでは、Pythonを使って、フレームワークなしでWebアプリを作るにはどうすればいいのかを紹介します。またそこから、今のWebアプリケーション開発に使われるフレームワークやスタックがなぜ必要とされているか、どのような利点があるのかを紹介します。
",Beginner,Talk (45 minutes),"Python, Webアプリケーション開発, HTTP, TCP, IP, HTML, CSS, JavaScript, SSL, Database, Socket, CGI, Web programming including frameworks (Django / Flask / Pylons etc.)"
Why you should care about types: Python Typing in the Facebook Backend,"By now you have probably all heard about Python static typing. But why should you care? Are types in Python even Pythonic? Is Python turning into Java? Type annotations are Pythonic, trust Guido's word for it, and Python is definitely not turning into Java.

I joined the Facebook London office in early 2016 after finishing university. At that time my team was running Python 2.7 and we had just 2 engineers. These days we are running 100% typed Python 3.6, have 8 engineers and 3 interns. In 2017 we flipped the switch from 2 to 3 and started aggressively typing the codebase, at that time we had only 3 engs.

In the first year of the team we managed to hire only 1 eng, the second year 6. So what made the difference? At Facebook, people go through Bootcamp and complete tasks from teams they are interested in before taking a decision on which to join. Having a codebase that's easy to navigate and understand is key to attract talent! Type annotations achieve just that, even without using a type checker.

The greatest benefit of types in large Python codebases is the fact that the input and output structures of a function are obvious from just looking at the signature. In the untyped world the definition for the class you are looking for may be N jumps away, hidden somewhere deep in the codebase, and you don't have a direct reference to it. In the best possible case grepping for it will yield just a few results and you will be able to spot what you are looking for. In the worst case though, you will have hundreds of hits and you will have to run your application and inspect the type at runtime to figure out what is going on, which make the development cycle slow and tedious.

Come to this talk if you want to know more about the typing system in Python, how to gradually add it to your codebase and what benefits will your team get in the long run! I will also cover FB specific technologies like our runtime type collection system, MonkeyType, and the just open sourced type checker, Pyre!",All,Talk (45 minutes),"General Conference, Best practices"
WILDCAT SDKは量子コンピュータビジネスの味方となるのか！？,Pythonistaにこそ、量子コンピューターは強力なスキルとなりうる可能性が高いです。なぜならSDKの多くはPython製だからです。ですが、量子コンピューターは、資料や本を読んでもなかなか理解しずらいので、既成概念のどの部分を切り替えると理解し易いかというポイントに絞った解説や、サンプルを紹介します。また、技術やビジネスにおける現状や、どんな事に使えそうかについても紹介します。,Intermediate,Talk (30 minutes),Packaging
実践・競馬データサイエンス,"# 実践・競馬データサイエンス

競馬というドメインは、取り組む課題として非常にエキサイティングで、毎週（毎日）開催があるため、定期的に新しいデータが追加され、解くべき問題が追加されていきます。
そのような競馬を対象に、私たちは競馬を予測する人工知能を2年間開発してきました。
ここから得られた知見は競馬に限らず、様々な分野において予測モデルを構築する際に応用することができます。

本トークでは、2年にわたる競馬の予測モデル構築から得られた実践的なノウハウをご紹介します。
本トークの構成は以下を予定しています。

1. 競馬のデータについて
2. 目的変数の設計方法
3. データの前処理方法
4. 特徴量エンジニアリング
5. 予測モデルの学習方法
6. 予測モデルの評価方法

まず、最初に競馬のデータの特性について紹介し、ここでの知見が競馬に限らず様々な分野に当てはまることを紹介します。
ここでのキーワードは、

- 時系列データ
- カテゴリカルデータ
- スパースデータ

などが挙げられます。

次に、問題を解くために設計する目的変数をどのように考えるのかを解説します。

その後、タスクの割合的に大部分を占める前処理について解説し、特徴量設計について、特に時系列データの取り入れ方について説明します。
ここでのキーワードは、

- 前処理
  - 標準化
  - 正規化
  - 欠損値補間
- Pandas
- feature importance（特徴量重要度）

などが挙げられます。

予測モデルの学習では、過学習を抑える方法を中心に説明し、最後に、いくつかの視点から学習したモデルの評価をします。
ここでのキーワードは、

- Gradient Boosting Decision Tree
  - LightGBM
- Cross-validation（交差検証）
- nDCG

などが挙げられます。

本トークは競馬の必勝法を伝えることが目的では無く、予測モデル構築の知見を一般化し伝えることが目的になります。
最後に、競馬以外への応用例を紹介し本トークを締める予定です。",Advanced,Talk (45 minutes),"Machine learning and data science, Best practices, Project case studies"
料理写真が美味しく撮れる！ 開発現場から覗くAI料理カメラの裏側,"## SnapDish／AI料理カメラ紹介
お料理SNSであるSnapDishと、料理を美味しそうに撮れる瞬間を教えてくれるAI料理カメラについて軽く説明します。

## 背景技術
AI料理カメラが用いている技術についてお話しし、それぞれ簡単に説明します。

   * 機械学習
   * ニューラルネット、ディープラーニング
   * Keras
   * CoreML

## ディープラーニング
ディープラーニングの様々な応用例をお話しします。
特に、その一つである画像分類モデルについてやや詳細に解説します。

適切な画像分類モデルさえあれば、AI料理カメラが実現できます。

## AI料理カメラの仕組み
画像分類モデルから、どうやってAI料理カメラを実現するかをお話しします。

画像分類モデルの中身次第では、料理カメラに限らず、様々なAIカメラを実現することもできます。

## AIモデル学習
SnapDishから取ってきたAI料理カメラの訓練データと、学習に使ったモデルの枠組みであるGoogLeNetについてお話しします。学習データとモデルの枠組みさえ揃えれば、あとはコンピュータが頑張ってパラメータを調整してくれて学習が完了です。

どなたでも、web上に転がっているデータを集めてくることで、色々な画像分類モデルを作ることができます。Pythonだと、ライブラリが充実しているので学習そのものはあまり難しくありません。このトークのフレームワークで「誰でも」「色々な」AIカメラを作ることができます（データの収集とアプリへの組み込みが大きな壁ですが...）。

## 現場が遭遇した問題
ここでは、学習したモデルを実際に使ってみた際に浮かび上がってきた問題についてお話しします。

料理を認識してくれない構図があったり、ただの風景をおいしそうな料理だと誤認する場合があったりします。特に、初期のAIカメラには卵料理に非常に弱いという欠点がありました...

## 実演動画
問題点がわかりやすいように実演動画をお見せします。さらに、改良を重ねて問題の解決に成功したバージョンの実演動画もお見せして比較を行います。いかにして問題を解決したかは以降でお話しします。

## 問題解決までのプロセス
Data augmentationを始め、問題解決までに現場が辿った道筋をお話しします。モデルの学習を工夫するだけでなく、その使い方によっても問題が解決できる場合があります。


## AI料理カメラの今後
AI料理カメラの枠組みを使って、料理名分類（推定）器が学習できます。これを使うと、なんと画像情報だけから似た料理を探してくれる機構を作ることができます。検索、recommendationへの応用など、AI料理カメラの今後についてお話しします。
",Intermediate,Talk (30 minutes),"Image classification, SNS, GoogLeNet, Machine learning, Deep learning, Keras, CoreML, iOS app, Data augmentation"
あなたと私いますぐパッケージン,"* pypi リニューアル
* pip 10
* pipenv
* PEP 518
",Beginner,Talk (45 minutes),Packaging
「リモートペアプロでマントルを突き抜けろ！」AWS Cloud9でリモートペアプロ＆楽々サーバーレス開発,"「リモートペアプロでマントルを突き抜けろ！」
====
AWS Cloud9でリモートペアプロ＆楽々サーバーレス開発
--------

- Pythonを使ったAWS Lambdaの開発環境として注目されているAWS Cloud9の便利な機能のひとつがリモート ペアプログラミングです。この機能を利用して地球の裏側にいるメンバーともペアプロやコードレビューが可能です。このセッションでは実際にペアプログラミングやユニットテストのデモを交えながら、どのようにAWSサーバーレス開発が行えるかをご紹介します。",All,Talk (45 minutes),"Python, AWS, Lambda, AWS Cloud9, unittest, SErverless Application Model"
自分が欲しいものをPythonで書く方法(Python for Myself),"## 課題

趣味としてPythonを学んでいる人や，将来的には仕事でPythonと考えているが今は仕事では使っていない人の悩みの1つは，「書籍やオンライン学習サイトでPythonを学んだはいいが，次に何をしたらよいかがわからない」というものです。

仕事であればアサインされたプロジェクトがありますが，特にそんなものはなく，もちろん納期もありません。「何でも作っていい」と言われても途方にくれるばかりです。

## ソリューション

答えは簡単です。「あったらいいな」と思うものを自分で作ればいいんです。
Excelのファイルを何個も開いて同じようなコピペを繰り返すのが面倒？Pythonで書きましょう。
休日のランニングコースを地図上にプロットしたい？Pythonで書きましょう。
素敵なパートナーが欲しい？Pythonで・・・それは無理かもしれませんが。

## どう書くか

書籍やWebを探してみて，そこにやり方が全部書いてあったらラッキーです。
まねて書いてみましょう。うまく動かない？そんなこともありますよね。

あっちに少し，こっちに少しと断片的な情報を組み合わせることで実現できそうなこともあります。
組み合わせてみましょう。うまく動かない？そんなこともありますよね。

そもそもどこにも情報がない？そんなこともありますよね。

わからないことがあったとき，質問できるようなPythonistaが近くにいない？そんなこともありますよね。

そんなときにどうやって乗り越えるかについて，このトークでは私自身が苦しんだ例をあげながらお話しします。
基礎を学び終えて次にやることを探している皆さん，やりたいことはあるけどつまづいてしまっている皆さんのヒントになれば幸いです。

## 想定している聴衆

一通りPythonを学んだが次に何をしたらよいかわからない人，作りたいものがあって取り組んでみたがうまくいかなくて心が折れそうな人

## 聴く意味がない人

自力で何とかできる人",Beginner,Talk (30 minutes),"Web programming including frameworks (Django / Flask / Pylons etc.), Best practices"
複数アプリケーションのプロセスとログを管理するための新しいツールと手法,"近年のソフトウェア開発においては、たくさんのアプリケーションプロセス、サービス、コンポーネントを連携させる必要があります。プロダクション環境ではコンテナベースのオーケストレーションやログ集約のしくみが充実してきましたが、開発者の手元の開発環境では、手軽にアプリケーションを連携させたり実行状況を確認したりするためのしくみが不足しています。

このように複雑化する環境で、開発者の作業を支援するために [Jaffle](https://github.com/yatsu/jaffle) というツールを開発しました。

Jaffleは以下の機能をもちます。

* 複数のPythonアプリケーションをJupyter Kernel上で動作させ、連携させる
  * ビルトインの `WatchdogApp` が中心となり、ファイル更新のタイミングで任意の処理を実行できる
    * 特にpytestの自動実行とTornadoアプリの再起動を行うコードは搭載されている
* 起動したすべてのPythonアプリケーション、プロセスのログを統合し、時系列に表示する
* ログを正規表現で絞り込む
* ログを正規表現と関数で置換する
  * `fg()`, `bg()` 関数による色付け、`jq()` 関数によるJSON(もしくはdict)からの値抜き出し

具体的な開発環境例として、以下のデモを行います。

* [pytestを使った自動テスト](http://jaffle.readthedocs.io/en/latest/cookbook/pytest.html)
  * ファイルシステム監視とpytestの連携
* [TornadoとReactによるWeb開発](http://jaffle.readthedocs.io/en/latest/cookbook/tornado_spa.html)
  * 複数プロセスの自動再起動と自動テスト
  * Jupyter Kernel(同一プロセス)上でのPythonアプリケーション連携
* [Jupyter Extension開発](http://jaffle.readthedocs.io/en/latest/cookbook/jupyter_ext.html)",Intermediate,Talk (30 minutes),"Programming tools, Logging, Testing"
